Tiempo_Seg,Mejor_Costo,Nodos_Explorados,Podas
0.00540986,2030,16,0
0.0413751,2010,227,0
0.0459925,1960,260,0
0.0502452,1910,291,0
0.054326,1860,321,0
0.0582724,1810,350,0
0.0614657,1760,375,0
0.0643339,1740,398,0
0.066891,1720,419,0
1.89829,1670,9346,0
1.90145,1650,9369,0
1.90421,1630,9390,0
7.38129,1620,43479,0
7.38456,1600,43500,0
18.2157,1590,94145,0
18.2186,1570,94166,0
92.1438,1560,420360,0
92.1468,1540,420381,0
201.574,1530,908377,0
201.577,1510,908398,0
313.123,1500,1416394,0
313.126,1480,1416415,0
