Pistas,Tiempo_Segundos,Costo,Nodos_Explorados
3,0.586,89.08,101
3,0.902,88.72,212
3,46.746,88.65,17860
3,134.98,88.22,51433
3,216.373,87.79,82756
3,288.666,87.36,111889
3,355.8,86.93,138946
3,417.68,86.5,163981
3,476.86,86.07,187054
3,530.309,85.64,208267
3,581.014,85.21,227698
3,627.546,84.78,245437
3,649.283,84.35,253795
3,689.268,83.92,268948
3,725.752,83.49,282601
3,757.208,83.06,294820
3,785.039,82.63,305707
3,809.759,82.2,315340
3,832.108,81.77,323785
3,851.937,81.34,331114
3,869.016,80.91,337423
3,883.399,80.48,342772
3,895.68,80.05,347251
3,901.006,79.62,349255
3,909.725,79.19,352486
3,916.724,78.76,355048
3,922.081,78.33,357019
3,926.038,77.9,358480
3,928.802,77.47,359509
3,930.68,77.04,360184
3,931.776,76.61,360595
3,932.356,76.18,360796
3,932.633,75.75,360895
